sample_id,caption,concreteness_annotation,icc_score
2324140000000.0,"Celebrating 20 years, EGEC shares declaration on the great role of geothermal energy",1,0.0155464746057987
2181740000000.0,"summer fashion scarvesnew scarf trendswhite by scarvesCHIC on Etsy, $15.90",1,0.0235476084053516
2834230000000.0,change my background how to change desktop background in windows 10,1,0.0236632209271192
1440160000000.0,"We only supply the tire. If there is a rim shown in the picture, it is for display purposes only. The picture serves only for representation purposes.",0,0.0172963496297597
2013300000000.0,Colorful streamers hanging from the ceiling.,3,0.8641681671142578
881004000000.0,"The logo of German carmaker BMW is seen on a car displayed during the annual results press conference in Munich, southern Germany, on March 19, 2013. German top-of-the-range carmaker BMW said today it is 'cautiously optimistic' for business in 2013 after achieving the best year in the company's history last year. STACHE",1,0.0325929634273052
3858680000000.0,A spotted harrier cruising to look for food,3,0.9069790840148926
1045000000000.0,creative eyelashes - closeup of the eye of woman with...,2,0.2679037749767303
72972011083.0,2013 men's the novelty original t-shirt with patterns Double-headed eagle and RUSSIA sizel xl xxl xxxl 4xl shirts free shipping,1,0.0205955225974321
3466280000000.0,Novak Djokovic (Ser) defeated Juan Martin Del Potro (Arg) in US Open final<br /> Flushing Meadows 09-09-2018 US Open<br /> Tennis Grande Slam 2018 Finale Uomini - Men's Final <br /> Foto Couvercelle /Panoramic / Insidefoto <br /> ITALY ONLY,1,0.005611527711153
3693150000000.0,"Sanusi under house arrest, moved to a 2-bedroom apartment without electricity & access roads (Photos",1,0.0330206044018268
3660010000000.0,a stack of miso chocolate chip cookies on a white plate,3,0.9560190439224244
209346000000.0,"MAJESTIC PET PRODUCTS - Santorini Chevron Round Pet Bed - pet bed looks great in any room of your house and is filled with ultra-plush fiberfill for luxurious napping. The removable zippered slipcover is made from outdoor-treated, UV-protected polyester for durability, and the base is made from heavy-duty waterproof 300/600 denier fabric that can go inside or out. Spot clean the slipcover and hang dry. Comes in a variety of colors and patterns, so you can pick the one that complements your decor.",1,0.0318205095827579
3689810000000.0,Simply Perfect Braided Wedges,2,0.2090942859649658
3174410000000.0,Bobcat in a hollow log,3,0.6979160904884338
3985200000000.0,Travertine is a perfect partner2,0,0.0139991557225584
184108000000.0,Young girl in a party dress looking bored and unhappy,3,0.9832189083099364
44378002368.0,BMW Is Looking Into Gas-Powered Vehicles,1,0.0549543350934982
2386880000000.0,there is also a small laundry with all-in-one washer and dryer,1,0.261753648519516
1460300000000.0,QR Code for Florida Virtual School at local Shell Gas Station,2,0.0585364289581775
179336000000.0,How to get a bobcat out of your window blinds,1,0.4948503673076629
2902680000000.0,Incotex Benson Straight Leg Wool Trousers,2,0.0662185102701187
7299055566.0,FI Week #5 #6 #7 : Let the new digital influencers shine,0,0.0065253125503659
2637370000000.0,1000 ideas about lake house plans on pinterest house for Basement planner online,1,0.0473056174814701
4161950000000.0,"New Years Fireworks in Seattle, 2011->2012",2,0.0183182377368211
2687440000000.0,buy a domain name,0,0.0422002300620079
1339410000000.0,tree with birds and birdcages vector image,3,0.2521201074123382
180519000000.0,"Tate Stevens - Winner of 2012 X Factor, Simon Cowell — Stock Photo",0,0.010540478862822
3389540000000.0,A glass bowl full of yellow cream and red and orange coloured fruit on pink & white background,3,0.9638179540634156
2527530000000.0,A sport fishing boat heading out of Wanchese harbor of the Outer Banks at dawn for a day of off-shore fishing.,2,0.7398384213447571
891733000000.0,ONLY - Cara Long Sleeve Shirt (Navy Blazer) Women,1,0.064393363893032
150744000000.0,Click this cover for a(n) eBook sample of Choke Point,0,0.01691210642457
1091790000000.0,Young blond woman wearing a dress in the forest,3,1.037286400794983
2419520000000.0,interior design for my home minimalist interior design is maximum on style,1,0.0363848060369491
46485007958.0,Stock photo of homemade cookies and a cup of coffe,3,0.724673867225647
159982000000.0,"Christopher Boffoli's photograph of a toy motorcycle rider, jumping over three toy cars and a slice of cheesecake",2,0.8179330825805664
4207670000000.0,EHM water ionizer and alkaline water machine factory on sale,2,0.0738830938935279
2073510000000.0,pictures of bedroom architectural details from hgtv,2,0.0949592739343643
204417000000.0,Raw Oysters are the perfect food to increase your testosterone!,1,0.0331636220216751
13309047591.0,Foreign stocks for students and grannies,1,0.044318251311779
1028830000000.0,Elderly man with a cocktail during holidays,3,1.0017191171646118
1385260000000.0,All cold and hot rolling seamless steel pipe diameter,1,0.1180852577090263
2735740000000.0,Words of Gymnastics Terminology w/ Monogram Drawstring Bag,0,0.0755570530891418
681415000000.0,Peace Love Colorectal Surgery Oval Sticker (50 pk),2,0.0204151216894388
3082820000000.0,moonstruck chocolates,2,0.2223808616399765
1322920000000.0,2008 Volkswagen GTI Photo,2,0.0444341003894805
3185480000000.0,"a bundt wedding cake with white chocolate dripping, evergreens, pinecones and sugar powder to imitate snow",3,0.553659200668335
3924520000000.0,Prince Harry to lose honorary military titles as palace confirms exit date from royal family,1,0.0225837510079145
2490950000000.0,Explore One 70mm Telescope,1,0.136539027094841
9585061801.0,"His last at-bat, a pop fly to center field. #garrettreade #littleleague #thatsmyboy",0,0.0287658665329217
1640740000000.0,"The mess I left at the end of the school year in 2015 when I couldn't unpack or move into my new classroom, but had to MOVE everything to my new classroom!",1,0.0241927951574325
178876000000.0,Ducati Desmoquattro at 2009 Seattle International Motorcycle Show 2.jpg,2,0.0258307047188282
2888070000000.0,Higher consumption of sugary beverages linked with increased risk of mortality,0,0.0450364798307418
413399000000.0,foto of wallabies  - Portrait of a wallaby in the nature - JPG,3,0.1259155869483947
2268910000000.0,architectural drawings for sale unknown vintage architectural drawing for sale at 1stdibs,1,0.0404167585074901
3051940000000.0,2PCS/Set Hematite Natural Stone Bracelet1,1,0.0513510592281818
1365540000000.0,Vivid Vision for Success | Rich Karlgaard,0,0.0256988815963268
1089150000000.0,The pistol 01 concept is a very precise and reliable sidearm!,0,0.0372255593538284
3092220000000.0,welcome to india card with famous landmarks vector image,2,0.0809210687875747
125767000000.0,No time to explain.  Just put on the hats and act casual.,0,0.0319115370512008
3063420000000.0,"Another member said she'd tried for years to get her floor to look this clean, declaring she 'loved' the bargain mop. Picture: Mums Who Clean",1,0.0180516615509986
1922040000000.0,and when the clock strikes midnight halloween will be over,1,0.0222302414476871
924649000000.0,"c1913 to 1955 tall stack of music, opera and ballet books  sg",2,0.0470925830304622
4265180000000.0,A young boy stands in front of a wall with height measurement marks and has his hand up to show how tall he'd like to be,3,0.9056270718574524
1359250000000.0,Image result for paytm with modi advertisement,1,0.0151146771386265
2858310000000.0,An entrance door to transform your home for Home front entry doors,1,0.1980525255203247
1328060000000.0,Example of TRAM:Cross-Domain-Solution,0,0.0312097426503896
2315030000000.0,looking out to the yew garden,1,0.5469176769256592
728736000000.0,Skip the recycling. Use your soda cans to make  bracelet cuffs instead!,0,0.0261903908103704
3173120000000.0,"They rise in quite an interesting way as well. Keep an eye on them so they don't burn, and make sure your pan is well-prepared for all that melted chocolate",0,0.0132172182202339
2912620000000.0,"""15 Thanksgiving Day Ideas for Couples. Holidays get so busy we sometimes forget our priorities. Keep your spouse at the top of your """"must do"""" list with these ideas. Thanksgiving traditions will create memories that you will treasure your whole marriage.""",0,0.0066542597487568
3899250000000.0,"Tao Xiangli gets out of his homemade submarine after operating it in a lake on the outskirts of Beijing September 3, 2009. Amateur inventor Tao, 34,  made a fully functional submarine, which has a periscope, depth control tanks, electric motors, manometer, and two propellers, from old oil barrels and tools which he bought at a second-hand market. He took 2 years to invent and test the submarine which costs 30,000 yuan ($4,385). (Photo by Christina Hu/Reuters)",0,0.0654816403985023
3012050000000.0,silver soda can and glass with white background - Stock Photo,3,0.5780340433120728
1213020000000.0,"""Operation Surf Santa Cruz is an annual event that honors active duty military soldiers through """"an epic life-changing surfing experience.""""Many of the soldier who participate lost limbs while serving their country fighting in war zones. Soldiers are able to rebuild their confidence and heal in a positive way by learning how to surf with help from legendary professional surfers who live in Santa Cruz.""",0,0.0331720635294914
2285300000000.0,what do you want to know about alta motors electric street tracker,1,0.0243745576590299
185681000000.0,Ebook download and read online electronic book button or icon,1,0.0158848389983177
2030540000000.0,hyster h40 h forklift will not go forward or backward stuck brakes,0,0.0325691662728786
786630000000.0,Set of empty picture frames for your own vector,2,0.1206305176019668
3079120000000.0,Brindle pendant in light grey with copper interior,3,0.7494232058525085
884530000000.0,Radar monitor - Aircraft radar for airport with world map...,2,0.1643717288970947
2325200000000.0,Girl in the gym lifting up the barbell - silhouette,3,0.7041217684745789
3400870000000.0,Modest partisan differences in views of elected officials,1,0.0847129747271537
4010450000000.0,One reason Millennials book cruises is the low cost - contrary to popular belief,0,0.0095523279160261
3232980000000.0,"A darkened hall filled with server racks on either side and a silhouette of a Facebook worker at the end, in the company's Prineville, Oregon, data center.",2,0.2498064935207367
3377090000000.0,"Containers have grabbed a large share of the intermodal freight business, and here's a miniature trainload of them at the model railroad show. Standardized sizes contribute to their efficiency, but containers visually vary only in color and markings so are aesthetically boring.  - Photo by Tom Berg",0,0.0371862575411796
1564060000000.0,be a donor be a hero,0,0.0268120318651199
1487040000000.0,A cartoon on the situation with languages in Ukraine cartoon.,1,0.1351670175790786
3237780000000.0,100% WOOL ZIPPED CARDIGAN,2,0.2523632347583771
3186720000000.0,The course has a convenient location in the community of Fernie.,0,0.1021628007292747
2502290000000.0,Young alligators basking in the sunlight,3,0.8990037441253662
2595530000000.0,Famous burj al arab hotel dubai 6 said to be the for Dubai world famous hotel,0,0.0149484807625412
1928020000000.0,COLROVIE Culotte Leg Elegant Cami Jumpsuit Women Box Pleated Sexy V Neck Jumpsuits 2017 Fall Surplice,1,0.0255879256874322
4276520000000.0,Among Us. (Innersloth),0,0.0197778847068548
3455690000000.0,pencil crafts for back to school and beyond,1,0.0606940574944019
3425120000000.0,"Sunflowers on Saturday, when I felt called to ask David to photograph me with them since they played such a role in my dreams.",1,0.0134899858385324
2718150000000.0,Download car and vehicles decal graphics kit designs ready to print and cut for vinyl,0,0.1053018420934677
3574700000000.0,Hydroponic Fodder ProFeed Growing System,1,0.0248192325234413
1779750022.0,Top sweet and fortified wines of 2012,1,0.0470709614455699
2329410000000.0,Ammonia is often used in cleaning products because it reacts with grease making this easier to remove,0,0.0136611992493271
208362000000.0,They do not take ownership of valuable deposited with them?,0,0.0148491878062486
2620600000000.0,Can i push out my wall to get an 8x8 bathroom leave me for Small bathroom design 5 x 8,0,0.0213284268975257
64349003027.0,Zero Zebra Safari Party Dairy-Free Chocolate Animals,1,0.0555420815944671
1221320000000.0,Making one of these wall hangings is a great way to use up old yarn ...,0,0.0395993627607822
3820660000000.0,"6 Pack - 16 Ounce Grolsch Bottles with Easy Cap Flip Top Caps for Brewing Beer, Kombucha, Kefir, Water, Thick High-Grade Glass, Resealable, Clear, by California Home Goods",0,0.0205480325967073
2955810000000.0,christmas bible verses for preschoolers five scriptures about children should 664,1,0.0282771866768598
2407670000000.0,Bomag reports that their single direction vibratory plate compactors are great tools for contractors' day-to-day use in soil and asphalt repair and maintenance compaction applications.,0,0.0156629588454961
1276410000000.0,"""Augustabernard bias-cut satin evening gown, c.1930. Label: """"Augustabernard"""" with a stamped couture number on the back.""",0,0.0203850269317626
1191890000000.0,"I am an Aspie Girl A Book for Young Girls with Autism Spectrum Conditions by Danuta Bulhak-Paterson, Tony Attwood",1,0.0342369712889194
3331620000000.0,How to graduate as a successful edupreneur,0,0.0215263236314058
3959100000000.0,Pocket watch: technically interesting pocket watch with rare crown winding in manner of O.,1,0.0750481337308883
2824090000000.0,garland for stairs christmas house tour decorating ideas how decorate for,0,0.0298164151608943
4020950000000.0,"This Mexican Layer Dip is easy to make and full of flavor! With layers of spicy black bean dip, homemade guacamole and fresh corn salsa it's the perfect party appetizer or snack!",0,0.0369166992604732
1155360000000.0,Tan Cartoon Doctor Man Carrying His - African American...,0,0.3294866979122162
3734550000000.0,"The DJI Osmo kit includes the grip, gimbal, camera and device holder for your smartphone (there is a companion app).",1,0.0267829820513725
15970030704.0,2013 New arribal digital holly quran mp4 player wholesale price and 28 language translation(China (Mainland)),0,0.00969426240772
180060000000.0,Shopping bags isolated on the white background,3,0.3331164121627807
2980440000000.0,Your spa decor should reflect your target market's preferences.,0,0.0315666906535625
4138480000000.0,hwaseong-fortress-suwon-part-2,0,0.0149889634922146
1460150000000.0,Julbo Eyewear - Atmo Goggle (4-8 Years Old) (Red Trans Orange Lens) Snow Goggles,1,0.0328036844730377
3681060000000.0,Grey and yellow consulting or planning concept infographics set,2,0.0751392990350723
1658060000000.0,"EFCC operatives evacuating the safe, the house where the cash was hidden and the money",1,0.1828141659498214
1172380000000.0,A Chinese man walks past a billboard for a new commercial development which reads 'Shangrila is in your mind but your buffalo is not' in Beijing (file photo),3,0.1633806973695755
3811370000000.0,How to install an SSD in a laptop | computer tutorial,1,0.1457964181900024
3721440000000.0,"Banque De Francs, French Banknote Assortment, ca. 1945-1961.",0,0.0152551643550395
2074430000000.0,tarek christina tarek and christina el moussa s divorce affects their,0,0.014102772809565
3809780000000.0,Phoenix Suns are changing their perception to the basketball world,0,0.0727904066443443
168541000000.0,"Well Established and Well Equipped Butchers, Fruit and Vegetables, Frozen Seafood Plus Convenience Groceries, South London for sale",1,0.0135835036635398
2523990000000.0,capricorn tattoos designs ideas and meaning tattoos for you,1,0.0298427063971757
155842000000.0,pic of gesture  - vector illustration of collection of hand gestures - JPG,2,0.0437199398875236
3129330000000.0,The rescued soccer team members pose with a sketch of the Thai Navy SEAL diver who died while trying to rescue them.,1,0.4345467090606689
104819000000.0,"chubby woman eating on scale stock photo, chubby woman on the scale eating a yogurt, isolate on white by iMarin",2,0.71502286195755
1079080000000.0,Salman and Sonakshi in Dabangg 2,0,0.1307882964611053
2133140000000.0,businessman in modern office writing ghostwriter in the air,2,0.0318192653357982
4199300000000.0,"A film still shows two panels, with green ink. On one of them, the letters RELIC can just be made out as the ink is bleeding and blurring away.",2,0.05745530128479
1409540000000.0,"National MS Society's Katie Boothroyd, Board Member Joan Ohayon. Photo by Tony Powell. Tea Honoring Women of the Diplomatic Corps. June 28, 2016",1,0.0204264614731073
177163000000.0,child tying his own shoes,3,0.8774693608283997
2327350000000.0,what is a research process paper The term research paper may also refer to a scholarly article that contains the results of original research or an evaluation of research conducted by others most scholarly articles must undergo a process of peer review before they can be accepted for publication in an academic journal.,0,0.0118459919467568
3359770000000.0,A boy volunteer with birds on his shoulders,3,0.9601746797561646
1814900000000.0,"A lounge room of greys and creams, black and white prints all come together to make this a relaxing and peaceful space",1,0.3578153252601623
2192370000000.0,lush greenery at National gallery of modern arts - Bangalore,1,0.0390405766665935
1333090000000.0,"Chanel 5, the first perfume i received as a gift.  Love it!",1,0.0177245996892452
4217450000000.0,large patio roof with adjustable louvres for outdoor seating weather protection and shading,2,0.5943586230278015
1956330000000.0,floor plan drawing software create your own home design easily,1,0.0567787438631057
935817000000.0,Trump on etch a sketch,1,0.0292452685534954
183554000000.0,Couple sat by basket full of grapes,3,0.8929217457771301
30471004547.0,"Annual: The event, celebrated every year to herald good monsoon rains for increased rice harvest, prosperity and goodluck, is one of the main festivals observed by both the Buddhist and Hindu communities of Kathmandu",0,0.0122002968564629
1549670000000.0,Antioxidant rich RED salad with lemony dressing is delicious lunch!,1,0.1375824064016342
715103000000.0,vintage book and light bulb on wood table,3,0.9600698947906494
2533460000000.0,spence cabin weddings,2,0.1801094710826873
770970000000.0,"Graphic on Australia's Tasmanian Devils, rare carnivorous marsupials in a battle for survival against a contagious facial cancer. It's been hundreds of years since the Tasmanian devil last lived on the Australian mainland but, in the misty hills of Barrington Tops, a pioneering group is being bred for survival",0,0.034836396574974
2314500000000.0,remodeling small bathroom ideas on a budget small bathroom remodel on a budget brown ceramic tile floor walk,0,0.6736428737640381
1691840000000.0,"When a 17-year-old Sharapova burst onto the scene in 2004 by winning Wimbledon, she was an immediate hit. Sure, her 6-foot-2 frame and model-like looks don't hurt, but with a power game that is every bit as strong as the Williams sisters' and a first serve that, when she lands it, is arguably the best in the women's game, Sharapova has proven that she's more than just a pretty face.",0,0.0218532606959342
1142010000000.0,A fish eye photo of people climbing high ropes,3,0.9392069578170776
2586350000000.0,30 sliding barn door designs and ideas for the home With barn door wide opening,1,0.5390515923500061
1706130000000.0,GSM Functionality GSM Technology is a special design which can be used in conjunction with a variety of signallers depending on the pig configuration.,0,0.0205536298453807
875150000000.0,Kendal Town Council are calling for a bypass to solve traffic problems after Storm Desmond,0,0.0429770983755588
3389760000000.0,Are You Am I - Faira Dress **white,0,0.0102075012400746
1888960000000.0,interior home design also with a interior wall design also with a,0,0.3475030362606048
1874910000000.0,new cars with best warranty all about extended auto warranty contracts leadhub,1,0.0134401880204677
3554540000000.0,"how to make fabric flower rosettes, tutorial",1,0.2616891264915466
1961720000000.0,Nominated banks roles and responsibilities under a letter of credit transaction.,0,0.029825834557414
2482490000000.0,Kingsbrook animal hospitals blog preferred veterinary care in two beloved basenjis kylie and cricket in a house fire in april of 2012 i was devastated my world revolved around my dogs since my husband and i do solutioingenieria Images,0,0.0131208961829543
3552080000000.0,Black & White Houndstooth Infinity Pocket Scarf - Travel Scarf - The Poppy Stock,1,0.1441465318202972
2068520000000.0,favorite colors on taupe benjamin and paint colors,1,0.232783704996109
172223000000.0,"Hand wrapping Basics - How to wrap your hands for boxing, kickboxing, and Muay Thai with long wraps",1,0.0273907110095024
3541040000000.0,Tropical Leaf Necklace 16,2,0.3917259573936462
1968440000000.0,cbd infographic why patients are leaving big pharma,1,0.0356590263545513
1569550000000.0,Minecraft cake - Both tiers are vanilla cake with vanilla buttercream covered in fondant. The tiles are all modeling chocolate (the greens are candy melt modeling chocolate). The man and the animals are gumpaste. The lettering is also modeling chocolate.,1,0.0589566342532634
3019300000000.0,"Professionally edit your voiceover, audiobook or podcast",0,0.0107601303607225
1676410000000.0,"""Eli struggling to find cell service """"under the biggest cell phone tower in Paris""""""",0,0.0363622941076755
2556030000000.0,Old man cleans tables at KFC to take home leftover food for family,2,0.7088311910629272
1597280000000.0,Tying an olive dun with mallard wings,1,0.5897533893585205
1063430000000.0,A pretty paper garland adds a festive touch.,1,0.463363915681839
2250420000000.0,"Don't have time to shampoo your hair, but still want to look glam? Me too! And that's why I love this collection of easy, sexy, and stylish hair updos for dirty hair. Full tutorials included!",0,0.0107916807755827
2291610000000.0,how to remove a kitchen tile backsplash,1,0.5750308036804199
1739130000000.0,"Drawing notebook. never thought of including this inside a felt book, always had a separate art bag..",1,0.0210242196917533
722666000000.0,"Zaanse Schans, Netherlands - May 5, 2015: Tourist Visit Windmills And Rural Houses In Zaanse Schans",0,0.0071374117396771
1915020000000.0,A young beautiful girl holding a wild fox animal that was traumatized by a man and rescued by her and now lives as before Stock Image,2,0.7401943206787109
3326790000000.0,the majestic elephant - one of the big 5,1,0.2854048609733581
3129290000000.0,how to wear flat shoes to a wedding,1,0.5097880363464355
31105009983.0,"Losing out: BP will temporarily be locked out of lucrative deals, including contracts to supply the US military with fuel. It follows the 2010 explosion of its Deepwater Horizon rig, pictured",0,0.0162601452320814
1945830000000.0,Pirate kids and their treasure,2,0.407912939786911
3048520000000.0,QuickBooks - Access,0,0.0193719267845153
185758000000.0,"""Cranberry Chevron Rug - Deep red hues cut a rug here. The chevron is a """"go with anything"""" pattern and the cranberry color is a summertime hit.""",0,0.0651197955012321
3317090000000.0,STF has arrested the wanted accused who recruited fake teachers,0,0.0205458458513021
3501940000000.0,SUMMER HITS 2016 Mixed by DJ Golan,0,0.0112939001992344
21371017135.0,Poster of Seven Below,1,0.036015473306179
971170000000.0,Avatars of a male and in business suits.,3,0.4198765456676483
77654001602.0,"closet converted into mudroom | make a closet more functional by removing doors, adding a bench at kid height, hooks for jackets and baskets for shoes, sunscreen and hats",1,0.0622031204402446
163481000000.0,foto of florida-orange  - Jacksonville skyline in orange background in editable vector file - JPG,2,0.0338153056800365
2742290000000.0,"castle hotel and spa wedding photos, ceremoy and reception",2,0.040844477713108
1899290000000.0,Car insurance advice: How to keep your car safe in winter weather,0,0.0671505481004715
2035810000000.0,25 best ideas about spice storage on spice,1,0.0248226821422576
3821840000000.0,"""Steven Wright Quote: """"It's like the Wild West, the Internet. There are no rules.""""""",0,0.0098612485453486
9335012454.0,pathandpuddle:  How long do animals live?,0,0.0160641632974147
64292009538.0,"The Roman temple of Jupiter is seen in the background as Lebanese youths play in the snow on January 9, 2013. The worst storms in a decade left swathes of Israel and Jordan under a blanket of snow and parts of Lebanon blacked out, bringing misery to a region accustomed to temperate climates.",1,0.1157938987016677
4168670000000.0,Miyake celebrates with his team after winning a silver medal at London 2012.,1,0.1576426476240158
1019830000000.0,Fisherman on a small blue and white boat with fishing net between the waves of the sea. Liguria Italy,2,0.8097150325775146
179913000000.0,A lack of sleep could be caused the nutrients in your diet,0,0.0199001543223857
1809030000000.0,Springet fra Big Business til Smaller Business (Starting Over),0,0.0090484516695141
3605740000000.0,Bear standing in a field with trees and mountains in the background,3,0.9766248464584352
3507910000000.0,St Vincent de Paul,2,0.0755971223115921
3301210000000.0,Trendy seamless floral pattern in vector illustration,2,0.6702097654342651
3084660000000.0,Pregnant patient lying in hospital bed,3,1.0298689603805542
799137000000.0,Cute heart frame vector,3,0.3219304382801056
2660100000000.0,man standing on snow,3,1.012538194656372
72725006841.0,Two little girls playing in the pool — Stock Photo,3,1.0021661520004272
112551000000.0,Depressed Teenage Girl Hugging Knees On Bed,3,1.0232881307601929
141182000000.0,Handsome young man sitting on rock,3,1.038392186164856
3235090000000.0,5 Bedroom                                  5 Bedroom House and Lot For Sale in Filinvest 2 big photo 11,1,0.0048478813841938
1585900000000.0,A metro city with thousands of trees will soon chop down hundreds to prevent an emerald ash borer infestation.,2,0.1917491853237152
210570000000.0,Sea Gull Hunnington 1 Light Outdoor Post Lantern in Black 89129BL-12,1,0.085850290954113
2678970000000.0,Indonesian martial arts - Pencak silat tournament in SEA Games XXVI.,1,0.0161068756133317
32994004395.0,The Complete Book of Bible Basics,2,0.2481215298175811
2689710000000.0,"Anime Twin Cities, Inc.",2,0.0299696698784828
